,Klist,test,train
0,1,17003.6392843,17142.5870993
1,2,20531.3745877,21054.921227
2,4,23336.933315,23955.562764
3,7,25379.9882313,26214.122793
4,10,26261.1380054,27367.5295301
5,15,26951.480539,28602.9805088
6,20,27539.9756695,29509.5230606
7,22,27721.195988,29824.7805238
8,25,27871.2810616,30239.0956627
9,28,27965.1099738,30597.1208115
10,35,28257.2257644,31291.4062687
11,40,28518.6268814,31705.7825113
12,45,28515.9583704,32087.5267661

