,Klist,test,train
0,1,17003.6392843,17214.2539154
1,2,20750.9609111,21189.6500277
2,4,23846.7956899,24453.0133122
3,7,26024.197277,26857.5824927
4,10,27030.0442288,28151.972527
5,15,27708.2791512,29513.0377499
6,20,28275.8242541,30529.9655258
7,24,28644.2949837,31161.5297108
8,30,28981.1773578,31941.5571129
9,34,29323.0658686,32336.2190663
