,Klist,test,train
0,1,17632.3076614,17889.2352282
1,2,19935.9863924,20687.7539449
2,4,22339.7273304,23367.5862651
3,7,24223.1794251,25262.2743452
4,10,,
5,15,,
6,20,,
7,22,,
